urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers47
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers53
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers54
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers52
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers53
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers54
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers52
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers55
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers55
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers55
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers53
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers47
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers56
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers57
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers56
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers56
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.39	urn:cite:hmt:pers.pers58
urn:cts:greekLit:tlg5026.msA.hmt:1.40	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.40	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.40	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.41	urn:cite:hmt:pers.pers59
urn:cts:greekLit:tlg5026.msA.hmt:1.41	urn:cite:hmt:pers.pers59
urn:cts:greekLit:tlg5026.msA.hmt:1.41	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers62
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers60
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers47
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers61
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers63
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers64
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers65
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers66
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers66
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers62
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers65
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers65
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers66
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers66
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers65
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers68
urn:cts:greekLit:tlg5026.msA.hmt:1.42	urn:cite:hmt:pers.pers69
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers70
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers71
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers72
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers73
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers59
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers70
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.67	urn:cite:hmt:pers.pers74
urn:cts:greekLit:tlg5026.msA.hmt:1.70	urn:cite:hmt:pers.pers75
urn:cts:greekLit:tlg5026.msA.hmt:1.70	urn:cite:hmt:pers.pers76
urn:cts:greekLit:tlg5026.msA.hmt:1.72	urn:cite:hmt:pers.pers75
urn:cts:greekLit:tlg5026.msA.hmt:1.72	urn:cite:hmt:pers.pers77
urn:cts:greekLit:tlg5026.msA.hmt:1.75	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.77	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.79	urn:cite:hmt:pers.pers74
urn:cts:greekLit:tlg5026.msA.hmt:1.79	urn:cite:hmt:pers.pers70
urn:cts:greekLit:tlg5026.msA.hmt:1.80	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers81
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers78
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers71
